-350.2068,-519.6307;
-309.4986,-535.2109;
-267.1912,-547.8754;
-226.8004,-556.8336;
-185.341,-563.0025;
-144.1401,-566.1936;
-102.6652,-566.4968;
-63.31882,-564.0911;
-24.06144,-559.0436;
14.60517,-551.4168;
51.32389,-541.6335;
87.21163,-529.5468;
121.9158,-515.3187;
154.8873,-499.2916;
186.45,-481.4302;
217.2331,-461.3594;
244.8435,-440.8358;
271.5595,-418.3655;
296.5711,-394.6083;
320.3376,-369.1247;
341.3669,-343.6999;
361.3879,-316.367;
379.0871,-288.9627;
395.2652,-260.4065;
410.3704,-229.5899;
422.2249,-201.3823;
433.0003,-171.0887;
442.1353,-139.7549;
449.1399,-109.3376;
454.5033,-78.03674;
458.0624,-46.55484;
459.8297,-14.51508;
459.7694,16.65925;
457.8913,48.54348;
454.2618,79.71826;
448.7882,111.0739;
441.5377,142.0334;
432.4692,172.7215;
421.5963,202.9932;
408.9207,232.7652;
394.4443,261.9535;
378.1716,290.469;
359.8596,318.5786;
340.259,345.1167;
318.5124,371.1954;
295.2169,395.9698;
270.1717,419.6024;
243.3661,441.9999;
214.8933,462.9844;
184.7934,482.4333;
152.4041,500.5889;
119.9413,516.1986;
84.65479,530.4939;
49.36679,542.2195;
12.17138,551.9765;
-26.14715,559.3793;
-65.55708,564.2987;
-105.6207,566.5714;
-146.3358,566.0965;
-187.7461,562.7264;
-229.0196,556.4181;
-270.4802,547.0137;
-311.8299,534.4111;
-352.3695,518.7042;
-392.7276,499.4598;
-430.9706,477.5084;
-468.6614,451.8153;
-503.8222,423.5675;
-537.4313,391.8667;
-568.3582,357.5765;
-596.7166,320.4478;
-622.0719,280.8451;
-644.1537,239.0236;
-663.1038,194.241;
-677.7941,149.0468;
-688.462,103.3894;
-695.4089,55.37738;
-698.1216,8.067783;
-696.7075,-40.39397;
-691.2331,-87.5205;
-681.5735,-134.7461;
-665.4976,-187.6955;
-647.5468,-231.7515;
-476.8429,-445.6396;
-439.8701,-471.8282;
-401.4251,-494.8018;
-361.869,-514.5121;
-321.3549,-531.0289;
-280.2456,-544.3351;
-238.043,-554.6376;
-197.3372,-561.526;
-155.5778,-565.5978;
-114.732,-566.7085;
-74.60208,-565.0505;
-35.341,-560.7681;
3.218021,-553.9424;
40.69122,-544.7285;
76.95988,-533.2635;
111.8923,-519.6961;
145.4176,-504.1583;
178.0457,-486.4419;
207.9292,-467.7211;
236.7917,-447.087;
264.2463,-424.7946;
289.5016,-401.617;
313.3437,-376.9519;
335.3585,-351.2751;
376.8279,-292.6606;
360.3081,317.9319;
340.3238,345.0341;
318.6427,371.0483;
295.5293,395.6566;
270.4457,419.3589;
243.6579,441.7706;
215.2009,462.7717;
184.3172,482.7202;
153.4615,500.0384;
120.2974,516.0405;
85.69569,530.1099;
49.10751,542.2966;
9.465209,552.5861;
-25.73928,559.3143;
-65.04929,564.2524;
-105.1484,566.5605;
-146.7015,566.0795;
-187.1278,562.7984;
-229.203,556.3834;
-270.0524,547.1269;
-311.2628,534.6066;
-351.9481,518.8855;
-392.0283,499.8262;
-430.5769,477.7545;
-467.8977,452.3802;
-504.3314,423.124;
-536.9536,392.3546;
-568.0487,357.9487;
-596.8727,320.2247;
-621.826,281.2664;
-644.1748,238.9792;
-662.5381,195.7514;
-677.405,150.4365;
-688.3685,103.8811;
-695.2991,56.46135;
-698.1324,7.291048;
-696.7797,-39.39193;
-691.3122,-87.02327;
-681.5616,-134.7941;
-668.2863,-179.7315;
-650.7589,-224.6051;
-629.9285,-266.9182;
-605.8513,-307.0011;
-578.5133,-344.9973;
-548.3495,-380.3897;
-515.0922,-413.5002;
-480.8153,-442.5577;
-443.5792,-469.3928;
-405.3943,-492.6126;
-366.2964,-512.4891;
-325.8679,-529.3615;
-284.6479,-543.0682;
-243.2769,-553.5378;
-201.9182,-560.8963;
-160.586,-565.267;
-119.6346,-566.7242;
-79.24432,-565.3821;
-39.62539,-561.3649;
-0.9915016,-554.8165;
36.60833,-545.8595;
73.00865,-534.6388;
108.0978,-521.2955;
141.7853,-505.9676;
173.9887,-488.7933;
204.6403,-469.9072;
233.6835,-449.4399;
261.0719,-427.5179;
286.7678,-404.2631;
310.7395,-379.7937;
332.9661,-354.2191;
353.4281,-327.6476;
372.1116,-300.1814;
389.006,-271.92;
404.2763,-242.6027;
417.4061,-213.3752;
429.0247,-182.9219;
438.599,-152.7119;
446.5591,-121.4795;
452.5735,-90.58876;
456.8656,-59.0676;
459.3319,-27.61179;
460.0052,4.007486;
458.8234,36.40775;
455.9414,67.13987;
451.2037,98.51138;
444.6616,129.6521;
436.315,160.4857;
426.037,191.2812;
414.1003,221.1687;
400.4537,250.3478;
384.8976,279.1463;
367.5427,307.2256;
348.4148,334.464;
327.5046,360.7929;
304.8338,386.0984;
279.987,410.6772;
254.2944,433.2005;
226.4846,454.7646;
196.7187,475.0417;
165.9809,493.308;
133.3949,510.0276;
99.30537,524.8818;
62.90412,538.0137;
27.19684,548.3469;
-10.68522,556.7081;
-49.60775,562.6316;
-89.88387,566.0038;
-129.9536,566.6246;
-171.2939,564.4162;
-212.4154,559.3153;
-253.9259,551.1462;
-300.8391,538.0867;
-342.0916,523.0158;
-381.7968,505.0496;
-420.864,483.6881;
-458.757,458.9936;
-494.6547,431.3757;
-528.6697,400.6331;
-560.4025,366.9425;
-589.5071,330.5038;
